T(s),S1-1F-D,S1-1F-S,S1-2F-D,S1-2F-S,S1-3F-D,S1-3F-S,S1-4F-D,S1-4F-S,S1-5F-D,S1-5F-S,S1-6F-D,S1-6F-S,S1-7F-D,S1-7F-S,S1-8F-D,S1-8F-S
0,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15
1,293.26,293.22,293.25,293.24,293.27,293.26,293.27,293.23,293.27,293.23,293.21,293.22,293.27,293.21,293.27,293.23
2,293.37,293.28,293.36,293.32,293.40,293.38,293.39,293.31,293.38,293.31,293.28,293.29,293.38,293.26,293.39,293.31
3,293.47,293.35,293.46,293.40,293.52,293.49,293.51,293.39,293.49,293.39,293.34,293.36,293.49,293.32,293.51,293.38
4,293.58,293.42,293.56,293.49,293.64,293.60,293.62,293.47,293.61,293.46,293.40,293.43,293.61,293.38,293.63,293.46
5,293.69,293.49,293.66,293.57,293.76,293.71,293.74,293.55,293.72,293.54,293.47,293.51,293.72,293.43,293.75,293.54
6,293.80,293.55,293.76,293.66,293.89,293.83,293.86,293.63,293.84,293.62,293.53,293.58,293.83,293.49,293.87,293.62
7,293.90,293.62,293.87,293.74,294.01,293.94,293.98,293.71,293.95,293.70,293.59,293.65,293.95,293.55,293.99,293.70
8,293.99,293.68,293.95,293.82,294.10,294.03,294.07,293.79,294.04,293.77,293.66,293.71,294.04,293.60,294.08,293.76
9,294.07,293.74,294.04,293.89,294.19,294.12,294.16,293.86,294.13,293.84,293.72,293.78,294.12,293.65,294.17,293.83
10,294.16,293.80,294.12,293.96,294.28,294.21,294.25,293.93,294.22,293.91,293.78,293.84,294.21,293.71,294.25,293.89
11,294.24,293.86,294.20,294.04,294.37,294.30,294.33,294.00,294.30,293.98,293.85,293.91,294.29,293.76,294.34,293.96
12,294.32,293.91,294.29,294.11,294.46,294.39,294.42,294.07,294.39,294.05,293.91,293.97,294.38,293.81,294.42,294.02
13,294.41,293.97,294.37,294.18,294.54,294.48,294.51,294.14,294.47,294.12,293.97,294.03,294.46,293.86,294.51,294.09
14,294.49,294.03,294.45,294.26,294.63,294.58,294.60,294.21,294.56,294.19,294.04,294.10,294.55,293.92,294.59,294.15
15,294.57,294.09,294.53,294.33,294.72,294.66,294.68,294.28,294.64,294.26,294.10,294.16,294.63,293.97,294.67,294.22
16,294.65,294.15,294.61,294.40,294.80,294.74,294.76,294.34,294.72,294.33,294.16,294.22,294.71,294.02,294.75,294.28
17,294.72,294.20,294.69,294.47,294.87,294.82,294.84,294.41,294.80,294.39,294.22,294.28,294.78,294.07,294.82,294.34
18,294.79,294.26,294.76,294.53,294.95,294.90,294.91,294.47,294.87,294.46,294.28,294.34,294.86,294.12,294.90,294.40
19,294.86,294.31,294.83,294.60,295.02,294.98,294.99,294.54,294.94,294.52,294.34,294.40,294.93,294.18,294.97,294.45
20,294.93,294.37,294.90,294.67,295.10,295.06,295.06,294.60,295.01,294.58,294.40,294.46,295.00,294.23,295.04,294.51
21,295.00,294.42,294.97,294.73,295.17,295.13,295.13,294.66,295.08,294.65,294.46,294.52,295.07,294.28,295.11,294.57
22,295.07,294.47,295.04,294.79,295.23,295.20,295.20,294.72,295.15,294.71,294.52,294.58,295.14,294.33,295.17,294.63
23,295.14,294.53,295.11,294.86,295.30,295.27,295.27,294.78,295.22,294.77,294.58,294.63,295.20,294.37,295.24,294.68
24,295.20,294.58,295.17,294.92,295.36,295.34,295.33,294.84,295.28,294.83,294.63,294.69,295.27,294.42,295.30,294.74
25,295.26,294.63,295.24,294.98,295.43,295.41,295.39,294.90,295.35,294.89,294.69,294.75,295.33,294.47,295.36,294.79
26,295.32,294.68,295.30,295.04,295.49,295.47,295.46,294.96,295.41,294.95,294.75,294.80,295.39,294.52,295.42,294.84
27,295.38,294.73,295.36,295.10,295.55,295.54,295.52,295.02,295.47,295.01,294.81,294.86,295.45,294.57,295.48,294.90
28,295.44,294.78,295.42,295.16,295.60,295.60,295.57,295.08,295.52,295.06,294.86,294.91,295.51,294.62,295.53,294.95
29,295.49,294.83,295.48,295.21,295.65,295.66,295.63,295.13,295.58,295.12,294.91,294.96,295.56,294.66,295.58,295.00
30,295.53,294.87,295.51,295.25,295.69,295.69,295.66,295.17,295.61,295.16,294.96,295.00,295.60,294.70,295.62,295.04
31,295.57,294.91,295.55,295.29,295.73,295.73,295.70,295.21,295.65,295.20,295.00,295.04,295.63,294.74,295.66,295.07
32,295.61,294.95,295.59,295.33,295.76,295.77,295.73,295.25,295.69,295.24,295.04,295.08,295.67,294.78,295.69,295.11
33,295.64,294.99,295.63,295.37,295.80,295.81,295.77,295.29,295.73,295.28,295.08,295.12,295.71,294.82,295.73,295.15
34,295.68,295.03,295.67,295.41,295.84,295.84,295.81,295.33,295.76,295.32,295.12,295.16,295.74,294.86,295.77,295.19
35,295.72,295.07,295.70,295.45,295.87,295.88,295.84,295.37,295.80,295.36,295.16,295.20,295.78,294.90,295.80,295.23
36,295.76,295.11,295.74,295.49,295.91,295.92,295.88,295.41,295.84,295.40,295.20,295.24,295.82,294.94,295.84,295.27
37,295.80,295.14,295.78,295.53,295.94,295.96,295.92,295.45,295.88,295.44,295.24,295.28,295.86,294.98,295.88,295.31
38,295.83,295.18,295.82,295.57,295.98,295.99,295.95,295.49,295.91,295.48,295.28,295.32,295.89,295.01,295.92,295.35
39,295.87,295.22,295.86,295.61,296.02,296.03,295.99,295.53,295.95,295.52,295.33,295.36,295.93,295.05,295.95,295.39
40,295.91,295.26,295.89,295.65,296.05,296.07,296.03,295.57,295.99,295.56,295.37,295.40,295.97,295.09,295.99,295.43
41,295.95,295.30,295.93,295.69,296.09,296.11,296.06,295.61,296.02,295.60,295.41,295.44,296.01,295.13,296.03,295.47
42,295.99,295.34,295.97,295.73,296.12,296.14,296.10,295.65,296.06,295.65,295.45,295.48,296.04,295.17,296.06,295.51
43,296.02,295.38,296.01,295.77,296.16,296.18,296.14,295.69,296.10,295.69,295.49,295.52,296.08,295.21,296.10,295.54
44,296.06,295.42,296.05,295.81,296.20,296.22,296.17,295.73,296.14,295.73,295.53,295.56,296.12,295.25,296.14,295.58
45,296.10,295.46,296.08,295.85,296.23,296.26,296.21,295.78,296.17,295.77,295.57,295.60,296.15,295.29,296.17,295.62
46,296.14,295.50,296.12,295.89,296.27,296.29,296.25,295.82,296.21,295.81,295.61,295.64,296.19,295.33,296.21,295.66
47,296.17,295.54,296.16,295.93,296.31,296.33,296.28,295.86,296.25,295.85,295.65,295.68,296.23,295.36,296.25,295.70
48,296.21,295.58,296.20,295.97,296.34,296.37,296.32,295.90,296.28,295.89,295.69,295.72,296.27,295.40,296.28,295.74
49,296.25,295.62,296.24,296.01,296.38,296.41,296.36,295.94,296.32,295.93,295.74,295.76,296.30,295.44,296.32,295.78
