T(s),S1-1B-D,S1-1B-S,S1-2B-D,S1-2B-S,S1-3B-D,S1-3B-S,S1-4B-D,S1-4B-S,S1-5B-D,S1-5B-S,S1-6B-D,S1-6B-S,S1-7B-D,S1-7B-S,S1-8B-D,S1-8B-S
0,293.150873,293.1508752,293.1507015,293.1509663,293.1507499,293.1506238,293.1508563,293.1506689,293.1509472,293.1508451,293.151007,293.1512332,293.1508032,293.1507901,293.1507189,293.1505363
1,293.2039453,293.203715,293.1974419,293.2100586,293.2006248,293.192524,293.207058,293.1943325,293.2104217,293.2062308,293.2146521,293.2282572,293.2037559,293.20321,293.1985478,293.1870942
2,293.2570175,293.2565548,293.2441822,293.2691509,293.2504998,293.2344243,293.2632598,293.2379961,293.2698962,293.2616165,293.2782971,293.3052813,293.2567085,293.2556299,293.2463768,293.2236521
3,293.3100897,293.3093946,293.2909225,293.3282432,293.3003747,293.2763245,293.3194615,293.2816597,293.3293707,293.3170022,293.3419422,293.3823053,293.3096611,293.3080498,293.2942057,293.2602101
4,293.363162,293.3622344,293.3376628,293.3873355,293.3502497,293.3182247,293.3756633,293.3253234,293.3888451,293.372388,293.4055873,293.4593293,293.3626137,293.3604698,293.3420346,293.296768
5,293.4162342,293.4150742,293.3844032,293.4464278,293.4001247,293.3601249,293.431865,293.368987,293.4483196,293.4277737,293.4692323,293.5363534,293.4155663,293.4128897,293.3898635,293.3333259
6,293.4693064,293.467914,293.4311435,293.5055201,293.4499996,293.4020251,293.4880668,293.4126506,293.5077941,293.4831594,293.5328774,293.6133774,293.4685189,293.4653096,293.4376924,293.3698839
7,293.5223787,293.5207539,293.4778838,293.5646125,293.4998746,293.4439253,293.5442685,293.4563143,293.5672686,293.5385451,293.5965224,293.6904014,293.5214716,293.5177295,293.4855213,293.4064418
8,293.5711605,293.5694617,293.523384,293.6188834,293.5480951,293.4847061,293.5981238,293.4981263,293.6228405,293.5914578,293.6557414,293.7614428,293.5722808,293.5682128,293.5317574,293.4424363
9,293.6188696,293.6171366,293.5685741,293.6719489,293.5959021,293.525207,293.6513925,293.5394753,293.6774369,293.6437522,293.7138538,293.8309884,293.6225542,293.6182119,293.5775953,293.47829
